Year,Rain,Sunshine
1908,801.5999999999999,1286.5
1909,801.5999999999999,1276.3
1910,801.5999999999999,1277.5
1911,712.8,1510.7
1912,1100.0,1001.0
1913,769.6,1066.0
1914,926.6,1291.3
1915,933.4,1251.3
1916,968.5,1101.6000000000001
1917,750.6999999999999,1226.9
1918,962.5,1231.6
1919,910.2,1275.8
1920,1001.1999999999999,1012.4
1921,676.8000000000001,1355.5
1922,900.4,1123.5
1923,965.7,1221.1
1924,844.1,1069.1
1925,936.2,1204.4
1926,828.9,1179.2
1927,981.8,1069.4
1928,1100.2,1232.0
1929,732.0,1403.4
1930,1092.3,1190.1
1931,935.6,1102.0
1932,752.0,1056.7
1933,632.1,1343.2
1934,702.9,1283.4
1935,1016.4,1411.1
1936,876.9,1161.6
1937,772.0,1020.5
1938,962.0,1196.5
1939,869.5,1186.7
1940,729.4,1241.2
1941,794.8,1084.5
1942,727.3000000000001,1192.2
1943,705.1999999999999,1313.4
1944,994.1,1085.3
1945,811.1,1204.9
1946,939.0,1260.0
1947,886.4,1278.8
1948,763.2,1270.9
1949,790.9000000000001,1527.4
1950,870.7,1314.8
1951,1057.5,1271.6000000000001
1952,726.9,1318.4
1953,691.9,1250.1
1954,1047.6,1067.2
1955,621.6,1471.3
1956,890.7,1240.4
1957,823.0,1331.4
1958,993.2,1105.1
1959,743.5,1382.2
1960,1048.3999999999999,1271.2
1961,924.3,1218.1
1962,740.8,1232.4
1963,802.6,1166.4
1964,697.4,1223.2
1965,1019.2,1129.9
1966,1112.0,1123.1
1967,975.7,1286.6
1968,1048.2,1071.1000000000001
1969,930.3,1228.8
1970,855.7,1365.1
1971,694.3,1248.1
1972,849.2,1128.3
1973,735.1,1280.6000000000001
1974,913.8,1169.9
1975,645.7,1443.8
1976,841.5,1371.3
1977,886.8000000000001,1283.3
1978,869.8,1175.7
1979,978.8,1205.3
1980,996.5,1174.2
1981,919.8,1046.1
1982,870.8,1211.1
1983,1009.5,1052.9
1984,884.8,1169.1000000000001
1985,737.4,1126.0
1986,989.4,1258.1000000000001
1987,792.4000000000001,1027.0
1988,924.9,1023.4
1989,707.3,1437.1
1990,866.5,1284.3
1991,810.2,1059.1
1992,830.9,1149.8
1993,951.9,1036.3
1994,966.6,1247.3
1995,646.9,1456.0
1996,795.2,1205.7
1997,779.3,1295.6
1998,1042.9,1095.6
1999,971.2,1460.0
2000,1142.5,1213.5
2001,783.3,1262.0
2002,1084.2,1328.8
2003,635.1,1362.1
2004,867.0,1214.0
2005,726.1,1406.8999999999999
2006,803.4,1412.6
2007,1002.1999999999999,1391.7
2008,1106.8,1256.4
2009,850.0,1394.3
2010,701.7,1128.4
2011,663.0,1460.8
2012,1233.1,1290.8
2013,748.0,1403.3
2014,1033.4,1186.8000000000002
2015,1108.4,1186.8000000000002
2016,829.4,1186.8000000000002
2017,736.0,1186.8000000000002
2018,701.8,1186.8000000000002
2019,1031.4,1186.8000000000002
2020,1107.0,1186.8000000000002
2021,888.4,1186.8000000000002
2022,742.4,1186.8000000000002
2023,1054.0,1186.8000000000002
2024,938.0,1186.8000000000002
